Settlement House,Title,Main Office (delete or move to keep formatting),Address,City,Borough,State,Zipcode,Programs,Early Childhood Education,Afterschool Programs,Older Adult Services,Latitude,Longitude
Arab-American Family Support Center,Family Justice Center Staten Island,,126 Stuyvesant Place,Staten Island,Staten Island,NY,10301,Violence Prevention,,,,40.643158,-74.077194
Arab-American Family Support Center,Family Justice Center Queens,,126-02 82nd Avenue,Kew Gardens,Queens,NY,11415,Violence Prevention,,,,40.713443,-73.826011
Arab-American Family Support Center,Court Street Headquarters,X,150 Court Street,Brooklyn,Brooklyn,NY,11201,"Food Access, Family Services, Health & Fitness, Housing & Homelessness, Immigrant Services, Other Children & Youth Services",,,,40.68878,-73.992974
Arab-American Family Support Center,Family Justice Center Bronx,,"198 East 161st Street, 2nd Floor",Bronx,Bronx,NY,10451,Violence Prevention,,,,40.826149,-73.920908
Arab-American Family Support Center,Family Justice Center Brooklyn,,350 Jay Street,Brooklyn,Brooklyn,NY,11201,Violence Prevention,,,,40.693456,-73.987761
Arab-American Family Support Center,Khalil Gibran International Academy High School,,362 Schermerhorn Street,Brooklyn,Brooklyn,NY,11217,Other Children & Youth Services,,,,40.686441,-73.97971
Arab-American Family Support Center,Queens 1,,"37-10 30th Street, 2nd Floor",Long Island City,Queens,NY,11101,"Mental Health & Substance Abuse, Other Children & Youth Services, Family Services",,,,40.755107,-73.932211
Arab-American Family Support Center,Queens 2,,"37-14 30th Street, 2nd Floor",Long Island City,Queens,NY,11101,"Mental Health & Substance Abuse, Other Children & Youth Services, Family Services",,,,40.754991,-73.932306
Arab-American Family Support Center,Atlantic Avenue Community Center,,384-386 Atlantic Avenue,Brooklyn,Brooklyn,NY,11217,"Mental Health & Substance Abuse, Adult Literacy, Other Children & Youth Services, Family Services, Food Access, Health & Fitness",,,,40.687079,-73.985702
Arab-American Family Support Center,Family Justice Center Manhattan,,"80 Centre Street, 5th Floor",New York,Manhattan,NY,10013,Violence Prevention,,,,40.715371,-74.001727
Arab-American Family Support Center,Bronx,,"966 Morris Park Ave, 2nd Fl",Bronx,Bronx,NY,10462,"Other Children & Youth Services, Family Services",,,,40.847522,-73.857165
Broadway Housing Communities,The Rio,,10 Fort Washington Ave,New York,Manhattan,NY,10032,"Arts & Culture, Civic Engagement & Community Organizing, Housing & Homelessness, Mental Health & Substance Abuse",,,,40.835826,-73.944466
Broadway Housing Communities,The Benziger-Abraham House,,345 Edgecombe Ave,New York,Manhattan,NY,10031,"Housing & Homelessness, Mental Health & Substance Abuse",,,,40.827048,-73.941589
Broadway Housing Communities,The Delta,,409 W 145th St,New York,Manhattan,NY,10031,"NORC, Housing & Homelessness, Mental Health & Substance Abuse",,,Older Adults,40.824434,-73.945301
Broadway Housing Communities,Dorothy Day Apartments,X,583 Riverside Dr,New York,Manhattan,NY,10031,"Child Care Center, Head Start, Other Children & Youth Services, Arts & Culture, Family Services, Housing & Homelessness, Workforce Development",Early Childhood Education,,,40.821172,-73.957199
Broadway Housing Communities,Sugar Hill Children's Museum of Art & Storytelling ,,898 St. Nicholas Ave,New York,Manhattan,,10032,Arts & Culture,,,,40.830478,-73.941187
Broadway Housing Communities,Sugar Hill Project,,898 St. Nicholas Ave,New York,Manhattan,NY,10032,"Child Care Center, Head Start, Other Children & Youth Services, Arts & Culture, Civic Engagement & Community Organizing, Family Services, Health & Fitness, Housing & Homelessness, Mental Health & Substance Abuse, Workforce Development",Early Childhood Education,,,40.830478,-73.941187
Bronx House,Bronx House Day Camps,,1 Happy Camper Way,Pearl River,Pearl River,NY,10965,Other Children & Youth Services,,,,41.065951,-73.996115
Bronx House,UPK Wallace Ave. Site (NYCHA),,2222 Wallace Avenue,Bronx,Bronx,NY,10467,Child Care Center,Early Childhood Education,,,40.858398,-73.864329
Bronx House,Pelham Parkway NORC,,"2425 Williamsbridge Road, Suite 1B",Bronx,Bronx,NY,10469,NORC,,,Older Adults,40.861664,-73.858546
Bronx House,"Bronx Park Middle School, Bronx Green Middle School, Pelham Academy Middle School (SONYC)",,2441 Wallace Ave,Bronx,Bronx,NY,10467,COMPASS/SONYC,,Afterschool,,40.862677,-73.864679
Bronx House,Main Building,X,990 Pelham Parkway South,Bronx,Bronx,NY,10461,"Older Adult Center, Child Care Center, Other Children & Youth Services, Arts & Culture, Health & Fitness",Early Childhood Education,,Older Adults,40.856649,-73.860412
Bronx Works,Carolyn McLaughlin Community Center,,1130 Grand Concourse,Bronx,Bronx,NY,10456,"Child Care Center, COMPASS/SONYC, Head Start, Summer Rising, Youth Employment Services, Other Children & Youth Services, Older Adult Center, Other Older Adult Services, Adult Literacy, Civic Engagement & Community Organizing, Food Access, Family Services, Health & Fitness, Housing & Homelessness, Immigrant Services, Workforce Development",Early Childhood Education,Afterschool,Older Adults,40.832721,-73.919072
Bronx Works,Edenwald Houses,,"1141 E 229th St., Apt 1D",Bronx,Bronx,NY,10466,Family Services,,,,40.886907,-73.845181
Bronx Works,Baychester Houses,,1220 E 229th St,Bronx,Bronx,NY,10466,Workforce Development,,,,40.884482,-73.842809
Bronx Works,Highbridge Houses,,125 West 166th St.,Bronx,Bronx,NY,10452,Workforce Development,,,,40.835511,-73.927131
Bronx Works,Stratford Towers Office,,1340 Morrison Ave.,Bronx,Bronx,NY,10472,"Youth Employment Services, Family Services, Workforce Development, Adult Literacy",,,,40.832705,-73.875158
Bronx Works,Franklin Houses,,1381 Franklin Ave.,Bronx,Bronx,NY,10456,Workforce Development,,,,40.833665,-73.900684
Bronx Works,Early Childhood Learning Center,,1472 Montgomery Ave.,Bronx,Bronx,NY,10453,"Head Start, Child Care Center",Early Childhood Education,,,40.847413,-73.921031
Bronx Works,Townsend Avenue,,1477 Townsend Ave.,Bronx,Bronx,NY,10452,"Immigrant Services, Family Services",,,,40.841874,-73.915514
Bronx Works,151 East Tremont,,151 E. Tremont Ave.,Bronx,Bronx,NY,10453,"Health & Fitness, Mental Health & Substance Abuse",,,,40.850461,-73.906755
Bronx Works,BronxWorks HomeBase Community Access Site,,1524 Boone Ave.,Bronx,Bronx,NY,10460,Housing & Homelessness,,,,40.832661,-73.884934
